semester,campus,class,total_hours,open_slots,taken_slots,out_slots,schedules,id,course_name,course_code,version_code,class_code,class_name
20221,FLO,01238,36,65,0,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20212,FLO,01238,36,65,57,4,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20211,FLO,01238,36,64,47,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20202,FLO,01238,36,63,58,3,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20201,FLO,01238,36,63,53,14,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20192,FLO,01238,36,62,57,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20191,FLO,01238,36,62,59,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20182,FLO,01238,36,62,60,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20181,FLO,01238,36,62,55,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20172,FLO,01238,36,62,60,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20171,FLO,01238,36,61,55,,6.1830-2 / CTC-CTC203,CAD5240,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,CAD5240,Aspectos Comportamentais do Empreendedor
20221,FLO,08208,72,20,0,,"5.1010-2 / AUX-ALOCAR
                                    6.1010-2 / AUX-ALOCAR",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20221,FLO,08235,72,20,0,,"5.1010-2 / AUX-ALOCAR
                                    6.1010-2 / AUX-ALOCAR",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20212,FLO,08208,72,20,11,,"5.1010-2 / AUX-ALOCAR
                                    6.1010-2 / AUX-ALOCAR",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20211,FLO,08235,72,16,4,,"5.0820-2 / AUX-ALOCAR
                                    6.0820-2 / AUX-ALOCAR",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20202,FLO,08235,72,16,6,,"5.0820-2 / AUX-ALOCAR
                                    6.0820-2 / AUX-ALOCAR",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20201,FLO,08235,72,16,7,,"5.0820-2 / AUX-LIVRE 
                                    6.0820-2 / AUX-LIVRE",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20191,FLO,08235,72,16,3,,"5.0820-2 / CTC-LATEP 
                                    6.0820-2 / CTC-LATEP",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20181,FLO,08235,72,18,15,,"3.0730-2 / CTC-LATEP 
                                    6.0820-2 / CTC-LATEP",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20171,FLO,08235,72,12,11,,"3.0730-2 / CTC-LABSDG
                                    6.0820-2 / CTC-LABPCT",INE5442,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5442,Circuitos e Sistemas Integrados
20221,FLO,05208,72,40,0,,4.0820-4 / CTC-INE101,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20212,FLO,05208,72,40,14,,4.0820-4 / AUX-ALOCAR,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20211,FLO,05208,72,40,0,,,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20202,FLO,05208,72,40,10,,7.1330-4 / AUX-ALOCAR,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20201,FLO,05208,72,40,0,,4.0820-4 / AUX-ALOCAR,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20192,FLO,05208,72,40,5,,4.0820-4 / AUX-ALOCAR,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20171,FLO,08208,72,30,11,,4.0820-4 / AUX-ALOCAR,INE5443,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5443,Reconhecimento de Padrões
20221,FLO,05208,72,40,0,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20212,FLO,05208,72,40,7,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20211,FLO,05208,72,40,4,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20202,FLO,05208,72,40,4,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20201,FLO,05208,72,40,15,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20192,FLO,05208,72,40,12,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20191,FLO,05208,72,40,14,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20182,FLO,05208,72,40,18,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20181,FLO,05208,72,40,12,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20172,FLO,05208,72,25,11,,7.1010-2 / AUX-ALOCAR,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
20171,FLO,05208,72,25,22,,,INE5444,CIÊNCIAS DA COMPUTAÇÃO (208),208,512,INE5444,Estágio Supervisionado I
